# y+ ()       
# Time        	patch         	min           	max           	average       
0.001         	walls	1.739810e-01	1.657878e+01	6.056052e+00
0.001         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.002         	walls	1.851634e-01	2.144803e+01	7.621542e+00
0.002         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.003         	walls	4.053396e-01	2.868063e+01	1.041640e+01
0.003         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.004         	walls	3.532268e-01	3.270998e+01	9.870484e+00
0.004         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.005         	walls	4.581873e-01	3.958924e+01	1.171871e+01
0.005         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.006         	walls	2.682027e-01	3.508159e+01	1.114774e+01
0.006         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.007         	walls	6.412637e-02	4.014439e+01	1.203321e+01
0.007         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.008         	walls	1.780388e+00	3.585043e+01	1.258868e+01
0.008         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.009         	walls	9.423536e-01	3.914226e+01	1.291882e+01
0.009         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.01          	walls	2.791775e+00	3.702257e+01	1.344824e+01
0.01          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.011         	walls	2.631416e+00	3.982151e+01	1.367645e+01
0.011         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.012         	walls	4.309874e+00	3.761366e+01	1.411117e+01
0.012         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.013         	walls	4.368236e+00	3.937901e+01	1.424937e+01
0.013         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.014         	walls	4.756179e+00	3.856701e+01	1.452352e+01
0.014         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.015         	walls	4.835017e+00	3.950028e+01	1.461052e+01
0.015         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.016         	walls	5.019437e+00	3.958559e+01	1.476713e+01
0.016         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.017         	walls	5.159668e+00	3.949788e+01	1.480198e+01
0.017         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.018         	walls	5.140013e+00	4.016145e+01	1.486730e+01
0.018         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.019         	walls	5.299584e+00	3.961732e+01	1.491611e+01
0.019         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.02          	walls	5.306511e+00	3.948805e+01	1.492718e+01
0.02          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.021         	walls	5.270331e+00	3.997743e+01	1.494442e+01
0.021         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.022         	walls	5.330536e+00	4.003762e+01	1.496906e+01
0.022         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
