# y+ ()       
# Time        	patch         	min           	max           	average       
0.024         	walls	2.169716e+00	2.146803e+01	7.796353e+00
0.024         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.026         	walls	2.177523e+00	2.146869e+01	7.801349e+00
0.026         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.028         	walls	2.182262e+00	2.147584e+01	7.804022e+00
0.028         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.03          	walls	2.183807e+00	2.147816e+01	7.805228e+00
0.03          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.032         	walls	2.184535e+00	2.147772e+01	7.805810e+00
0.032         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.034         	walls	2.185027e+00	2.147819e+01	7.806089e+00
0.034         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.036         	walls	2.185150e+00	2.147873e+01	7.806196e+00
0.036         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.038         	walls	2.185177e+00	2.147886e+01	7.806247e+00
0.038         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.04          	walls	2.185224e+00	2.147894e+01	7.806279e+00
0.04          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.042         	walls	2.185249e+00	2.147899e+01	7.806292e+00
0.042         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.044         	walls	2.185258e+00	2.147899e+01	7.806305e+00
0.044         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.046         	walls	2.185266e+00	2.147899e+01	7.806307e+00
0.046         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.048         	walls	2.185269e+00	2.147899e+01	7.806308e+00
0.048         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.05          	walls	2.185270e+00	2.147899e+01	7.806310e+00
0.05          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.052         	walls	2.185270e+00	2.147899e+01	7.806309e+00
0.052         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.054         	walls	2.185270e+00	2.147899e+01	7.806312e+00
0.054         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.056         	walls	2.185270e+00	2.147899e+01	7.806309e+00
0.056         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.058         	walls	2.185270e+00	2.147899e+01	7.806309e+00
0.058         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.06          	walls	2.185270e+00	2.147899e+01	7.806313e+00
0.06          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.062         	walls	2.185271e+00	2.147899e+01	7.806308e+00
0.062         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.064         	walls	2.185270e+00	2.147899e+01	7.806310e+00
0.064         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.066         	walls	2.185270e+00	2.147899e+01	7.806314e+00
0.066         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.068         	walls	2.185271e+00	2.147899e+01	7.806308e+00
0.068         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.07          	walls	2.185270e+00	2.147899e+01	7.806307e+00
0.07          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.072         	walls	2.185270e+00	2.147899e+01	7.806313e+00
0.072         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.074         	walls	2.185270e+00	2.147899e+01	7.806310e+00
0.074         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
