"Points:0","Points:1","Points:2","p"
0.15597,0.061946,0,1.3753e+05
0.15597,0.061946,0.01,1.3753e+05
0.15399,0.063465,0,1.3865e+05
0.15399,0.063465,0.01,1.3865e+05
0.15343,0.063902,0,1.3887e+05
0.15343,0.063902,0.01,1.3887e+05
0.15371,0.063682,0,1.3877e+05
0.15371,0.063682,0.01,1.3877e+05
0.15455,0.063027,0,1.3835e+05
0.15455,0.063027,0.01,1.3835e+05
0.15483,0.062807,0,1.3804e+05
0.15483,0.062807,0.01,1.3804e+05
0.1554,0.062376,0,1.3772e+05
0.1554,0.062376,0.01,1.3772e+05
0.15568,0.062159,0,1.3765e+05
0.15568,0.062159,0.01,1.3765e+05
0.15512,0.062591,0,1.378e+05
0.15512,0.062591,0.01,1.378e+05
0.15427,0.063244,0,1.385e+05
0.15427,0.063244,0.01,1.385e+05
0.16417,0.056173,0,1.311e+05
0.16417,0.056173,0.01,1.311e+05
0.1861,0.0508,0,1.2616e+05
0.1861,0.0508,0.01,1.2616e+05
0.1866,0.0508,0,1.2635e+05
0.1866,0.0508,0.01,1.2635e+05
0.1871,0.0508,0,1.2653e+05
0.1871,0.0508,0.01,1.2653e+05
0.1876,0.0508,0,1.267e+05
0.1876,0.0508,0.01,1.267e+05
0.1881,0.0508,0,1.2686e+05
0.1881,0.0508,0.01,1.2686e+05
0.1886,0.0508,0,1.2701e+05
0.1886,0.0508,0.01,1.2701e+05
0.1891,0.0508,0,1.2715e+05
0.1891,0.0508,0.01,1.2715e+05
0.1896,0.0508,0,1.2728e+05
0.1896,0.0508,0.01,1.2728e+05
0.2201,0.0508,0,1.2981e+05
0.2201,0.0508,0.01,1.2981e+05
0.2206,0.0508,0,1.2982e+05
0.2206,0.0508,0.01,1.2982e+05
0.2211,0.0508,0,1.2983e+05
0.2211,0.0508,0.01,1.2983e+05
0.2216,0.0508,0,1.2984e+05
0.2216,0.0508,0.01,1.2984e+05
0.2221,0.0508,0,1.2984e+05
0.2221,0.0508,0.01,1.2984e+05
0.2226,0.0508,0,1.2985e+05
0.2226,0.0508,0.01,1.2985e+05
0.2231,0.0508,0,1.2986e+05
0.2231,0.0508,0.01,1.2986e+05
0.2236,0.0508,0,1.2987e+05
0.2236,0.0508,0.01,1.2987e+05
0.2241,0.0508,0,1.2987e+05
0.2241,0.0508,0.01,1.2987e+05
0.2246,0.0508,0,1.2988e+05
0.2246,0.0508,0.01,1.2988e+05
0.2251,0.0508,0,1.2989e+05
0.2251,0.0508,0.01,1.2989e+05
0.2256,0.0508,0,1.2989e+05
0.2256,0.0508,0.01,1.2989e+05
0.2261,0.0508,0,1.299e+05
0.2261,0.0508,0.01,1.299e+05
0.2266,0.0508,0,1.299e+05
0.2266,0.0508,0.01,1.299e+05
0.2271,0.0508,0,1.2991e+05
0.2271,0.0508,0.01,1.2991e+05
0.2276,0.0508,0,1.2991e+05
0.2276,0.0508,0.01,1.2991e+05
0.2361,0.0508,0,1.2998e+05
0.2361,0.0508,0.01,1.2998e+05
0.2366,0.0508,0,1.2998e+05
0.2366,0.0508,0.01,1.2998e+05
0.2371,0.0508,0,1.2998e+05
0.2371,0.0508,0.01,1.2998e+05
0.2376,0.0508,0,1.2998e+05
0.2376,0.0508,0.01,1.2998e+05
0.2381,0.0508,0,1.2999e+05
0.2381,0.0508,0.01,1.2999e+05
0.2386,0.0508,0,1.2999e+05
0.2386,0.0508,0.01,1.2999e+05
0.2391,0.0508,0,1.2999e+05
0.2391,0.0508,0.01,1.2999e+05
0.2396,0.0508,0,1.2999e+05
0.2396,0.0508,0.01,1.2999e+05
0.2401,0.0508,0,1.2999e+05
0.2401,0.0508,0.01,1.2999e+05
0.2406,0.0508,0,1.2999e+05
0.2406,0.0508,0.01,1.2999e+05
0.2411,0.0508,0,1.3e+05
0.2411,0.0508,0.01,1.3e+05
0.2416,0.0508,0,1.3e+05
0.2416,0.0508,0.01,1.3e+05
0.2421,0.0508,0,1.3e+05
0.2421,0.0508,0.01,1.3e+05
0.2426,0.0508,0,1.3e+05
0.2426,0.0508,0.01,1.3e+05
0.2431,0.0508,0,1.3e+05
0.2431,0.0508,0.01,1.3e+05
0.2436,0.0508,0,1.3e+05
0.2436,0.0508,0.01,1.3e+05
0.2601,0.0508,0,1.3001e+05
0.2601,0.0508,0.01,1.3001e+05
0.2606,0.0508,0,1.3001e+05
0.2606,0.0508,0.01,1.3001e+05
