# y+ ()       
# Time        	patch         	min           	max           	average       
0.002         	walls	4.412665e-02	5.250163e+01	1.249077e+01
0.002         	rightWall	4.320855e-01	1.323013e+01	1.003763e+01
0.004         	walls	2.755754e-02	3.739538e+01	1.504694e+01
0.004         	rightWall	1.224719e-01	9.905571e+00	6.961068e+00
0.006         	walls	1.902740e-02	4.110463e+01	1.576005e+01
0.006         	rightWall	5.577634e-02	7.325612e+00	4.850616e+00
0.008         	walls	2.029339e-02	4.503928e+01	1.630761e+01
0.008         	rightWall	5.866554e-02	6.326978e+00	4.329787e+00
0.01          	walls	6.574257e-03	4.614774e+01	1.651807e+01
0.01          	rightWall	4.493541e-02	7.858428e+00	4.796672e+00
0.012         	walls	4.796892e-02	4.458140e+01	1.646410e+01
0.012         	rightWall	1.562066e-01	1.556454e+01	7.923677e+00
0.014         	walls	1.788103e-01	4.473923e+01	1.645047e+01
0.014         	rightWall	7.264500e-01	3.114676e+01	1.719642e+01
0.016         	walls	2.790811e-01	4.496894e+01	1.648640e+01
0.016         	rightWall	1.374529e+00	3.407566e+01	2.138470e+01
0.018         	walls	2.822166e-01	4.498774e+01	1.653572e+01
0.018         	rightWall	2.104934e+00	3.424912e+01	2.247963e+01
0.02          	walls	3.123195e-01	4.487528e+01	1.656131e+01
0.02          	rightWall	2.028105e+00	3.428575e+01	2.266309e+01
0.022         	walls	3.124235e-01	4.488869e+01	1.657102e+01
0.022         	rightWall	1.989822e+00	3.443652e+01	2.274996e+01
0.024         	walls	3.144550e-01	4.492157e+01	1.657640e+01
0.024         	rightWall	1.970384e+00	3.463865e+01	2.285669e+01
0.026         	walls	3.169106e-01	4.493486e+01	1.658182e+01
0.026         	rightWall	1.965355e+00	3.474721e+01	2.292176e+01
0.028         	walls	3.181209e-01	4.493526e+01	1.658338e+01
0.028         	rightWall	1.967719e+00	3.481316e+01	2.296905e+01
0.03          	walls	3.173206e-01	4.492926e+01	1.658340e+01
0.03          	rightWall	1.975092e+00	3.492590e+01	2.302486e+01
0.032         	walls	3.205070e-01	4.492241e+01	1.658415e+01
0.032         	rightWall	1.982580e+00	3.491985e+01	2.305065e+01
0.034         	walls	3.165321e-01	4.491515e+01	1.658571e+01
0.034         	rightWall	1.984713e+00	3.495174e+01	2.305751e+01
0.036         	walls	3.183974e-01	4.491400e+01	1.658630e+01
0.036         	rightWall	1.984123e+00	3.494328e+01	2.306556e+01
0.038         	walls	3.164595e-01	4.491934e+01	1.658684e+01
0.038         	rightWall	1.988605e+00	3.496008e+01	2.306687e+01
0.04          	walls	3.177447e-01	4.492079e+01	1.658671e+01
0.04          	rightWall	1.981127e+00	3.499872e+01	2.306860e+01
0.042         	walls	3.188723e-01	4.492214e+01	1.658754e+01
0.042         	rightWall	1.983092e+00	3.498745e+01	2.307581e+01
0.044         	walls	3.185570e-01	4.492197e+01	1.658823e+01
0.044         	rightWall	1.986446e+00	3.498741e+01	2.308029e+01
0.046         	walls	3.112385e-01	4.491986e+01	1.658787e+01
0.046         	rightWall	1.984725e+00	3.498347e+01	2.307653e+01
0.048         	walls	3.168717e-01	4.492019e+01	1.658966e+01
0.048         	rightWall	1.990756e+00	3.500349e+01	2.307659e+01
0.05          	walls	3.161079e-01	4.491963e+01	1.658980e+01
0.05          	rightWall	1.983594e+00	3.499108e+01	2.307968e+01
0.052         	walls	3.144421e-01	4.492006e+01	1.658959e+01
0.052         	rightWall	1.986417e+00	3.494062e+01	2.306922e+01
0.054         	walls	3.197037e-01	4.492033e+01	1.658992e+01
0.054         	rightWall	1.991001e+00	3.499724e+01	2.308015e+01
0.056         	walls	3.146648e-01	4.492076e+01	1.658927e+01
0.056         	rightWall	1.989503e+00	3.498077e+01	2.307348e+01
0.058         	walls	3.158407e-01	4.491986e+01	1.658888e+01
0.058         	rightWall	1.987136e+00	3.499484e+01	2.308408e+01
0.06          	walls	3.196887e-01	4.492061e+01	1.658994e+01
0.06          	rightWall	1.987228e+00	3.499138e+01	2.308125e+01
0.062         	walls	3.192125e-01	4.492022e+01	1.658958e+01
0.062         	rightWall	1.986997e+00	3.500064e+01	2.308744e+01
0.064         	walls	3.167512e-01	4.491891e+01	1.659005e+01
0.064         	rightWall	1.987106e+00	3.501052e+01	2.308846e+01
0.066         	walls	3.181356e-01	4.492025e+01	1.659037e+01
0.066         	rightWall	1.987724e+00	3.501016e+01	2.308440e+01
0.068         	walls	3.168851e-01	4.492033e+01	1.659027e+01
0.068         	rightWall	1.989168e+00	3.499224e+01	2.308530e+01
0.07          	walls	3.137295e-01	4.491983e+01	1.659080e+01
0.07          	rightWall	1.988532e+00	3.502600e+01	2.309108e+01
0.072         	walls	3.179261e-01	4.491979e+01	1.659033e+01
0.072         	rightWall	1.981706e+00	3.503203e+01	2.308871e+01
0.074         	walls	3.182040e-01	4.491912e+01	1.659143e+01
0.074         	rightWall	1.988508e+00	3.499174e+01	2.309466e+01
