"Points:0","Points:1","Points:2","arc_length","p"
0.33619,0.0508,0.005,0,130100
0.335829,0.0508,0.005,0.000360996,130086
0.335428,0.0508,0.005,0.000761986,130036
0.335032,0.0508,0.005,0.001158,129964
0.334562,0.0508,0.005,0.00162798,129920
0.3341,0.0508,0.005,0.00208998,129913
0.333598,0.0508,0.005,0.002592,129919
0.333101,0.0508,0.005,0.00308898,129928
0.332597,0.0508,0.005,0.003593,129938
0.332096,0.0508,0.005,0.00409397,129944
0.331595,0.0508,0.005,0.00459498,129951
0.331095,0.0508,0.005,0.00509498,129956
0.330595,0.0508,0.005,0.005595,129962
0.330095,0.0508,0.005,0.00609499,129966
0.329595,0.0508,0.005,0.00659499,129971
0.329095,0.0508,0.005,0.00709498,129974
0.328595,0.0508,0.005,0.00759497,129978
0.328095,0.0508,0.005,0.008095,129982
0.327595,0.0508,0.005,0.00859499,129984
0.327095,0.0508,0.005,0.00909498,129986
0.326595,0.0508,0.005,0.00959498,129989
0.326095,0.0508,0.005,0.010095,129992
0.325595,0.0508,0.005,0.010595,129994
0.325095,0.0508,0.005,0.011095,129996
0.324595,0.0508,0.005,0.011595,129998
0.324095,0.0508,0.005,0.012095,130000
0.323595,0.0508,0.005,0.012595,130002
0.323095,0.0508,0.005,0.013095,130003
0.322595,0.0508,0.005,0.013595,130005
0.322095,0.0508,0.005,0.014095,130007
0.321595,0.0508,0.005,0.014595,130008
0.321095,0.0508,0.005,0.015095,130010
0.320595,0.0508,0.005,0.015595,130012
0.320095,0.0508,0.005,0.016095,130013
0.319595,0.0508,0.005,0.016595,130014
0.319095,0.0508,0.005,0.017095,130016
0.318595,0.0508,0.005,0.017595,130017
0.318095,0.0508,0.005,0.018095,130018
0.317595,0.0508,0.005,0.018595,130020
0.317095,0.0508,0.005,0.019095,130020
0.316595,0.0508,0.005,0.019595,130022
0.316095,0.0508,0.005,0.020095,130022
0.315595,0.0508,0.005,0.020595,130024
0.315095,0.0508,0.005,0.021095,130024
0.314595,0.0508,0.005,0.021595,130026
0.314095,0.0508,0.005,0.022095,130026
0.313595,0.0508,0.005,0.022595,130027
0.313095,0.0508,0.005,0.023095,130028
0.312595,0.0508,0.005,0.023595,130028
0.312095,0.0508,0.005,0.024095,130030
0.311595,0.0508,0.005,0.024595,130030
0.311095,0.0508,0.005,0.025095,130030
0.310595,0.0508,0.005,0.025595,130032
0.310095,0.0508,0.005,0.026095,130032
0.309595,0.0508,0.005,0.026595,130032
0.309095,0.0508,0.005,0.027095,130032
0.308595,0.0508,0.005,0.027595,130033
0.308095,0.0508,0.005,0.028095,130034
0.307595,0.0508,0.005,0.028595,130034
0.307095,0.0508,0.005,0.029095,130034
0.306595,0.0508,0.005,0.029595,130034
0.306095,0.0508,0.005,0.030095,130035
0.305595,0.0508,0.005,0.030595,130035
0.305095,0.0508,0.005,0.031095,130035
0.304595,0.0508,0.005,0.031595,130035
0.304095,0.0508,0.005,0.032095,130036
0.303595,0.0508,0.005,0.032595,130036
0.303095,0.0508,0.005,0.033095,130036
0.302595,0.0508,0.005,0.033595,130036
0.302095,0.0508,0.005,0.034095,130036
0.301595,0.0508,0.005,0.034595,130036
0.301095,0.0508,0.005,0.035095,130035
0.300595,0.0508,0.005,0.035595,130035
0.300095,0.0508,0.005,0.036095,130035
0.299595,0.0508,0.005,0.036595,130035
0.299095,0.0508,0.005,0.037095,130035
0.298595,0.0508,0.005,0.037595,130034
0.298095,0.0508,0.005,0.038095,130034
0.297595,0.0508,0.005,0.038595,130034
0.297095,0.0508,0.005,0.039095,130033
0.296595,0.0508,0.005,0.039595,130033
0.296095,0.0508,0.005,0.040095,130032
0.295595,0.0508,0.005,0.040595,130032
0.295095,0.0508,0.005,0.041095,130031
0.294595,0.0508,0.005,0.041595,130030
0.294095,0.0508,0.005,0.042095,130030
0.293595,0.0508,0.005,0.042595,130028
0.293095,0.0508,0.005,0.043095,130028
0.292595,0.0508,0.005,0.043595,130026
0.292095,0.0508,0.005,0.044095,130026
0.291595,0.0508,0.005,0.044595,130024
0.291095,0.0508,0.005,0.045095,130024
0.290595,0.0508,0.005,0.045595,130022
0.290095,0.0508,0.005,0.046095,130020
0.289595,0.0508,0.005,0.046595,130019
0.289095,0.0508,0.005,0.047095,130018
0.288595,0.0508,0.005,0.047595,130016
0.288095,0.0508,0.005,0.048095,130014
0.287595,0.0508,0.005,0.048595,130012
0.287095,0.0508,0.005,0.049095,130010
0.286595,0.0508,0.005,0.049595,130008
0.286095,0.0508,0.005,0.050095,130006
0.285595,0.0508,0.005,0.050595,130004
0.285095,0.0508,0.005,0.051095,130002
0.284595,0.0508,0.005,0.051595,129999
0.284095,0.0508,0.005,0.052095,129997
0.283595,0.0508,0.005,0.052595,129994
0.283095,0.0508,0.005,0.053095,129991
0.282595,0.0508,0.005,0.053595,129988
0.282095,0.0508,0.005,0.054095,129986
0.281595,0.0508,0.005,0.054595,129982
0.281095,0.0508,0.005,0.055095,129978
0.280595,0.0508,0.005,0.055595,129975
0.280095,0.0508,0.005,0.056095,129972
0.279595,0.0508,0.005,0.056595,129968
0.279095,0.0508,0.005,0.057095,129963
0.278595,0.0508,0.005,0.057595,129959
0.278095,0.0508,0.005,0.058095,129955
0.277595,0.0508,0.005,0.058595,129950
0.277095,0.0508,0.005,0.059095,129946
0.276595,0.0508,0.005,0.059595,129940
0.276095,0.0508,0.005,0.060095,129936
0.275595,0.0508,0.005,0.060595,129930
0.275095,0.0508,0.005,0.061095,129924
0.274595,0.0508,0.005,0.061595,129918
0.274095,0.0508,0.005,0.062095,129912
0.273595,0.0508,0.005,0.062595,129906
0.273095,0.0508,0.005,0.063095,129899
0.272595,0.0508,0.005,0.063595,129892
0.272095,0.0508,0.005,0.064095,129884
0.271595,0.0508,0.005,0.064595,129877
0.271095,0.0508,0.005,0.065095,129869
0.270595,0.0508,0.005,0.065595,129860
0.270095,0.0508,0.005,0.066095,129852
0.269595,0.0508,0.005,0.066595,129843
0.269095,0.0508,0.005,0.067095,129834
0.268595,0.0508,0.005,0.067595,129824
0.268095,0.0508,0.005,0.068095,129814
0.267595,0.0508,0.005,0.068595,129804
0.267095,0.0508,0.005,0.069095,129794
0.266595,0.0508,0.005,0.069595,129783
0.266095,0.0508,0.005,0.070095,129772
0.265595,0.0508,0.005,0.070595,129760
0.265095,0.0508,0.005,0.071095,129748
0.264595,0.0508,0.005,0.071595,129734
0.264095,0.0508,0.005,0.072095,129721
0.263595,0.0508,0.005,0.072595,129707
0.263095,0.0508,0.005,0.073095,129692
0.262595,0.0508,0.005,0.073595,129678
0.262095,0.0508,0.005,0.074095,129662
0.261595,0.0508,0.005,0.074595,129646
0.261095,0.0508,0.005,0.075095,129628
0.260595,0.0508,0.005,0.075595,129611
0.260095,0.0508,0.005,0.076095,129593
0.259595,0.0508,0.005,0.076595,129574
0.259095,0.0508,0.005,0.077095,129554
0.258595,0.0508,0.005,0.077595,129534
0.258095,0.0508,0.005,0.078095,129512
0.257595,0.0508,0.005,0.078595,129490
0.257095,0.0508,0.005,0.079095,129466
0.256595,0.0508,0.005,0.079595,129442
0.256095,0.0508,0.005,0.080095,129417
0.255595,0.0508,0.005,0.080595,129390
0.255095,0.0508,0.005,0.081095,129362
0.254595,0.0508,0.005,0.081595,129334
0.254095,0.0508,0.005,0.082095,129304
0.253595,0.0508,0.005,0.082595,129272
0.253095,0.0508,0.005,0.083095,129240
0.252595,0.0508,0.005,0.083595,129205
0.252095,0.0508,0.005,0.084095,129170
0.251595,0.0508,0.005,0.084595,129132
0.251095,0.0508,0.005,0.085095,129092
0.250595,0.0508,0.005,0.085595,129051
0.250095,0.0508,0.005,0.086095,129008
0.249595,0.0508,0.005,0.086595,128963
0.249095,0.0508,0.005,0.087095,128916
0.248595,0.0508,0.005,0.087595,128866
0.248095,0.0508,0.005,0.088095,128814
0.247595,0.0508,0.005,0.088595,128758
0.247095,0.0508,0.005,0.089095,128700
0.246595,0.0508,0.005,0.089595,128640
0.246095,0.0508,0.005,0.090095,128576
0.245595,0.0508,0.005,0.090595,128508
0.245095,0.0508,0.005,0.091095,128436
0.244595,0.0508,0.005,0.091595,128360
0.244095,0.0508,0.005,0.092095,128280
0.243595,0.0508,0.005,0.092595,128196
0.243095,0.0508,0.005,0.093095,128104
0.242595,0.0508,0.005,0.093595,128008
0.242095,0.0508,0.005,0.094095,127903
0.241595,0.0508,0.005,0.094595,127790
0.241095,0.0508,0.005,0.095095,127670
0.240595,0.0508,0.005,0.095595,127538
0.240095,0.0508,0.005,0.096095,127397
0.239595,0.0508,0.005,0.096595,127244
0.239095,0.0508,0.005,0.097095,127076
0.238595,0.0508,0.005,0.097595,126894
0.238095,0.0508,0.005,0.098095,126694
0.237595,0.0508,0.005,0.098595,126474
0.237095,0.0508,0.005,0.099095,126229
0.236596,0.0508,0.005,0.099594,125955
0.236096,0.0508,0.005,0.100094,125637
0.235597,0.0508,0.005,0.100593,125236
0.235099,0.0508,0.005,0.101091,124688
0.234602,0.0508,0.005,0.101588,124032
0.234107,0.0508009,0.005,0.102083,123548
0.233615,0.050812,0.005,0.102575,123126
0.233132,0.0508237,0.005,0.103058,122760
0.23265,0.0508417,0.005,0.103541,122812
0.232188,0.0508733,0.005,0.104004,122791
0.231725,0.050905,0.005,0.104468,122492
0.231284,0.0509351,0.005,0.10491,122780
0.230837,0.0509837,0.005,0.105359,123336
0.23041,0.0510334,0.005,0.105789,123104
0.229968,0.051085,0.005,0.106234,122706
0.22954,0.0511348,0.005,0.106665,122999
0.229094,0.0511979,0.005,0.107116,123656
0.228666,0.0512677,0.005,0.107549,124054
0.228222,0.0513402,0.005,0.107999,124059
0.227796,0.0514096,0.005,0.108431,123938
0.227361,0.0514806,0.005,0.108872,124142
0.226943,0.0515585,0.005,0.109297,124608
0.226519,0.0516459,0.005,0.10973,125066
0.22611,0.0517305,0.005,0.110147,125370
0.22569,0.0518171,0.005,0.110576,125376
0.225285,0.0519009,0.005,0.11099,125304
0.22487,0.0519865,0.005,0.111413,125606
0.224467,0.0520802,0.005,0.111827,126048
0.224063,0.0521795,0.005,0.112243,126436
0.223662,0.0522779,0.005,0.112656,126852
0.223262,0.0523761,0.005,0.113068,127050
0.222862,0.0524742,0.005,0.11348,127052
0.222464,0.0525719,0.005,0.11389,126690
0.222067,0.0526692,0.005,0.114298,126919
0.221673,0.0527795,0.005,0.114708,127715
0.221284,0.0528884,0.005,0.115112,128174
0.220891,0.0529987,0.005,0.11552,128458
0.220506,0.0531067,0.005,0.11592,128393
0.220113,0.0532169,0.005,0.116328,128295
0.219728,0.0533249,0.005,0.116728,128378
0.219336,0.0534347,0.005,0.117135,128634
0.218951,0.0535494,0.005,0.117536,128940
0.218566,0.0536693,0.005,0.11794,129254
0.218179,0.0537896,0.005,0.118345,129648
